Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer
DONEP M FORTE TAB,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,87.41,84.41,1,0,
DOXOLL 200MG TAB,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,18.41,15.41,1,0,
DOXOLL-TL TAB,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,15.23,12.23,1,0,
DULCOFLEX (A) SUPPOSITORY,,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,140,137,1,0,
DULCOLAX (A) SUPP,,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,59.8,56.8,1,0,
DUPHALAC SYP 100ml,,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,71.6,68.6,1,0,
DUPHASTON TAB,,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,100,97,1,0,
DYTOR-10MG TAB,,,10'S,,RANBAXY LABORATORIES LTD,,5,73,,,,,67.5,64.5,1,0,
E.T.TUBE 8.5 CUFF(RMS),,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,51,48,1,0,Buy 5 get 1
EBAST 10MG TAB,,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,140,137,1,0,Buy 5 get 1
ELECTROLYTE P 500ML IV (BAXTER),,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,56,,,,,40.43,37.43,1,0,
ELICIA 2MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,83,80,1,0,
ELICIA 4MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,215,212,1,0,
ELTROXIN 100 MCG TAB.,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,97,94,1,0,
ENERIL-2.5 MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,53.35,50.35,1,0,
ENERIL-5MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,87.55,84.55,1,0,
ENRACTIN TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,57,,,,,86,83,1,0,
ENSURE POWDER (CHOCOLATE) 400GM,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,69,,,,,265,262,1,0,
ENZOHEAL OINT 5GM,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,18.9,15.9,1,0,
ENZOHEAL TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,89,86,1,0,
EPILEX CHRONO 200MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,94,91,1,0,
EPILEX CHRONO 300MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,34,31,1,0,
EPILEX CHRONO 500MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,56,53,1,0,
ETERNA INJ 2ML 4MG,,,10'S,,TABLETS (INDIA) LIMITED,,14.5,70,,,,,36.35,33.35,1,0,
ETERNA SYP,,,10'S,,TABLETS (INDIA) LIMITED,,14.5,70,,,,,18,15,1,0,
ETOVA ER 400MG TAB,,,10'S,,TABLETS (INDIA) LIMITED,,14.5,1,,,,,139.6,136.6,1,0,Buy 5 get 1
EVION-400MG TAB,,,10'S,,TABLETS (INDIA) LIMITED,,14.5,70,,,,,85,82,1,0,Buy 5 get 1
EVION-LC TAB,,,10'S,,TABLETS (INDIA) LIMITED,,14.5,70,,,,,150,147,1,0,Buy 5 get 1
EXYT 400MG TAB (ALBENDAZOLE),,,10'S,,TORRENT PHARMACEUTICALS LTD,,14.5,25,,,,,27.8,24.8,1,0,Buy 5 get 1
FASH GEL 100,,,10'S,,TORRENT PHARMACEUTICALS LTD,,14.5,25,,,,,68,65,1,0,
FASTGARD 1.125G INJ,,,10'S,,TORRENT PHARMACEUTICALS LTD,,14.5,25,,,,,80.55,77.55,1,0,
FASTGARD 2.25G INJ,,,10'S,,TORRENT PHARMACEUTICALS LTD,,14.5,25,,,,,30,27,1,0,
FEBREX PLUS TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,14.5,53,,,,,53.93,50.93,1,0,
FEEDING BAG (ROMSON),,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,11,8,1,0,
FENOBARB INJ 200MG 1ML,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,37,34,1,0,
FEPANIL SYP 125MG 60ML,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,130,127,1,0,
FEPANIL SYP 250MG 60ML,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,32.85,29.85,1,0,
FEROGLOBIN HB LIQUID 200 ML,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,44,41,1,0,
FEVASTIN INJ.,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,116,113,1,0,
FINE-10 TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,36.68,33.68,1,0,
FINGER EXTENSION SPLINT,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,61.05,58.05,1,0,
FIRSITO-LMF TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,85,82,1,0,
FLAGYL 0.5% INJ 100ML,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,62,59,1,0,
FLAGYL 200MG TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,87.35,84.35,1,0,
FLAVOCIP TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,16,13,1,0,
FLEXURA D TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,98,95,1,0,
FLODART 0.4mg SR TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,19,16,1,0,
FLUBIGAT EYE DROPS,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,56,,,,,87,84,1,0,
FLUNIL-10MG CAP,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,37.7,34.7,1,0,
FLUNIL-20MG CAP,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,76.65,73.65,1,0,
FLUNIL-40MG CAP,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,136.2,133.2,1,0,
FLUVOXIN 100MG TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,18.63,15.63,1,0,
FLUVOXIN 50MG TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,132.65,129.65,1,0,
FOLEY BALLO.CATHETER 10 RUSCH,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,85,82,1,0,
FOLEY BALLO.CATHETER 12 RUSCH,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,49,46,1,0,
FOLEY BALLO.CATHETER 14 RUSCH,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,73,70,1,0,Buy 5 get 1
FOLEY BALLO.CATHETER 16(RUSCH),,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,99.67,96.67,1,0,Buy 5 get 1
FOLEY BALLO.CATHETER 18 RUSCH,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,38,35,1,0,Buy 5 get 1
FOLITRAX-7.5MG TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,226,223,1,0,Buy 5 get 1
FOPYMIN TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,54.33,51.33,1,0,Buy 5 get 1
FORACORT 200 INHALER,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,36,33,1,0,Buy 5 get 1
FORACORT RESPULES 0.5MG 2ML,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,29,26,1,0,Buy 5 get 1
FORCAN INFUSION 100ML,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,80.25,77.25,1,0,Buy 5 get 1
FORTWIN 1ML INJ,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,56.5,53.5,1,0,Buy 5 get 1
FOSOLIN INJ,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,85,82,1,0,Buy 5 get 1
FRESUBIN 200GM,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,74,71,1,0,Buy 5 get 1
FRESUBIN DM  200GM,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,129,126,1,0,
FRISIUM-5 TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,11.45,8.45,1,0,
FRUSELAC DS TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,23,20,1,0,
FRUSELAC TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,72,69,1,0,
FUCAN 50 DT TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,35.7,32.7,1,0,
FUCINOVA-B CREAM 10GM,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,73,70,1,0,
FUCINOVA-B CREAM 5GM,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,35.52,32.52,1,0,
FUNGID 3 KIT,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,124.5,121.5,1,0,
GALVUS MET TAB 50MG/500MG,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,94.15,91.15,1,0,
GALVUS-50MG TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,,,,,,120.8,117.8,1,0,
GANATON-50MG TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,,,,,,77.3,74.3,1,0,
GARDENAL-60 TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,99,96,1,0,
GENCIN INJ 2 ML(GENTAMYCIN),,,10'S,,TRIDOSS LABORATORIES PVT LTD,,5,45,,,,,24.8,21.8,1,0,
GLYCERIN 0RAL SOLN 100GM,,,10'S,,UCB INDIA PVT LTD,,5,1,,,,,83,80,1,0,Buy 5 get 1
GLYCIPHAGE G2 FORTE,,,10'S,,UCB INDIA PVT LTD,,5,1,,,,,64.92,61.92,1,0,Buy 5 get 1
GLYCIPHAGE TAB,,,10'S,,UCB INDIA PVT LTD,,5,1,,,,,20.15,17.15,1,0,
GLYCOLATE 1MG TAB,,,10'S,,UNI SANKYO LTD,,5,56,,,,,19.15,16.15,1,0,
GLYCOMET-GP 0.5 TAB,,,10'S,,UNI-LABS (INDIA) PVT LTD,,5,10,,,,,43.8,40.8,1,0,
GMT-SR 1 TAB,,,10's,,UNICHEM LABORATORIES LTD,,5,1,,,,,40.05,37.05,1,0,
GMT-SR 2 TAB(2+500),,,10'S,,UNICHEM LABORATORIES LTD,,5,56,,,,,28.88,25.88,1,0,
GRENIL TAB,,,10'S,,USV,,5,25,,,,,71.5,68.5,1,0,
HARD CERVICAL COLLER M (DYNA),,,10'S,,WALTER BUSHNELL,,5,68,,,,,46.72,43.72,1,0,
HATRIC 2.5MG SYP. 30ML,,,10'S,,WALTER BUSHNELL,,5,68,,,,,49,46,1,0,
HCQS TAB,,,10'S,,WALTER BUSHNELL,,5,68,,,,,53.83,50.83,1,0,
HEPAMERZ GRANULES,,,10'S,,WOCKHARDT LIMITED,,5,45,,,,,59,56,1,0,
HEPAMERZ TAB,,,10'S,,WYETH,,5,62,,,,,13,10,1,0,
HEPARIN 25000IU INJ 5ML,,,10'S,,ZANDRA,,14.5,71,,,,,30,27,1,0,
IV CANULA 26 (NEOFLON),,,10'S,,MERCK LIMITED,,5,74,,,,,6.96,3.96,4.95,7992.36,
IVEOLYTE M 500ML,,,10'S,,CADILA PHARMACEUTICALS LIMITED,,5,75,,,,,9.3,6.3,6.61,641.35,Buy 5 get 1
IVEPRED-8MG TAB.,,,10'S,,NOVARTIS (INDIA) LTD,,5,1,,,,,15.9,13.05,12.27,625.77,Buy 5 get 1
JUSTIN 12.5 SUPP,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,17.49,13.33,12.4,297.6,
JUSTIN-100MG SUPP,,,10'S,,UNIVERSAL MEDICARE LIMITED,,5,1,,,,,17.5,13.48,12.4,173.6,
JUSTIN-25MG SUPP,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,62,,,,,17.53,13.49,12.55,163.15,
K BIND POWDER,,,10'S,,CIPLA LTD,,5,45,,,,,18,13.71,12.75,216.68,
K-PIO-15 TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,18.53,14.27,13.27,238.86,
K-PLAT 75MG TAB,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,53,,,,,17.43,14.31,13.17,302.91,
KABILYTE ING 500 ML,,,10'S,,MERCK LIMITED,,5,25,,,,,18.6,14.32,13.32,1318.68,
KARVOL PLUS CAPS,,,10'S,,CIPLA LTD,,5,45,,,,,18.75,14.44,13.43,26.86,
KELAC INJ(KETOROLAC),,,10'S,,BAYER PHARMA,,5,1,,,,,19,14.48,11.62,209.15,
KLOX D-500MG CAP,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,19.84,15.12,13.91,27.82,
KNEE IMMOBILISER LONG-L(DYNA),,,10'S,,BLUE CROSS LABORATORIES LTD,,14.5,53,,,,,20,15.39,12.74,101.94,Buy 5 get 1
KNEE SUPPORT PLAIN (SEGO) L,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,62,,,,,20,15.4,11.46,343.73,Buy 5 get 1
KOLQ TAB,,,10'S,,SKN ORGANICS (P) LTD,,5,55,,,,,20,15.4,12.88,644,Buy 5 get 1
LABEBET 100MG TAB,,,10'S,,MICRO LABS LTD (INDIA),,5,56,,,,,20.16,15.52,12.99,103.92,Buy 5 get 1
LABLOL INJ 20mg/4ml,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,20.21,15.56,14.47,14.47,Buy 5 get 1
LACRYL EYE DROP 5 ML,,,10'S,,PIRAMAL CONSUMER,,5,85,,,,,19.95,15.73,14.02,2397.31,Buy 5 get 1
LACTAGARD-1.5G INJ,,,10'S,,WOCKHARDT LIMITED,,5,45,,,,,20,15.87,8.91,1292.23,Buy 5 get 1
LACTIFIBER POWDER,,,10'S,,FDC LIMITED,,5,57,,,,,20.75,15.97,14.69,88.14,Buy 5 get 1
LACTOSAR FORTE 1.5GM INJ,,,10'S,,USV,,5,25,,,,,19.95,16.38,15.32,76.6,
LAMETEC 100MG DT,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,21.43,16.5,15.35,230.25,
LAMETEC 25 DT,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,21.7,16.53,14.09,183.19,
LANTUS CATRIDGE 100 IU INSULIN,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,75,,,,,49,37.73,35.09,350.9,
LASIX 2ML INJ,,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,49.74,37.9,35.25,493.5,
LAXSUM 40 MG TAB,,,10'S,,WANBURY LTD,,5,56,,,,,50,38.1,31.18,374.17,
LEG TRACTION APPLIANCE,,,10'S,,GERMAN REMEDIES,,5,1,,,,,56.6,43.58,38.48,4578.81,
LEVOFLOX 500mg TAB,,,10'S,,CADILA PHARMACEUTICALS LIMITED,,5,1,,,,,56.9,43.81,40.74,325.92,
LEVOFLOX INFUSION,,,10'S,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,56,,,,,57.57,43.86,40.35,322.8,
LEVOLIN SYP,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,57,,,,,57,43.87,40.36,766.84,
LEVOLIN-1MG TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,53.44,43.88,40.81,408.1,
LEXANOX ORAL PASTE,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,57,43.89,40.82,367.38,
LIBRAX TAB.,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,57,43.89,40.82,326.56,
LIBRIUM-10 TAB,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,57.17,44.03,40.95,614.25,
LIORESAL 10MG TAB,,,10'S,,PFIZER LIMITED,,5,45,,,,,54.64,44.06,41.42,497.04,
LIPRIL 2.5 MG TAB,,,10'S,,CARDIMED,,5,134,,,,,58,44.19,39.77,795.4,
LIPRIL 5MG TAB,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,58,44.19,41.1,246.6,
LITHOLENT 300MG TAB,,,10'S,,USV,,14.5,25,,,,,60,45.71,42.51,807.69,Buy 10 get 1
LIVOGEN CAPSTAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,60,46.18,42.95,300.65,Buy 10 get 1
LIVOMIK 5MG TAB,,,10'S,,NOVARTIS (INDIA) LTD,,5,73,,,,,56.5,46.39,38.41,230.47,
LOGICAL 500MG TAB,,,10'S,,MICRO LABS LTD (INDIA),,5,1,,,,,61.65,46.97,43.21,86.42,
LOMAC 20MG CAP,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,57,,,,,61,46.97,43.66,480.25,
LOPERAMIDE 2MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,61,46.97,43.68,655.2,
LOPEZ INJ 2ML,,,10'S,,SERUM INSTITUTE OF INDIA LTD,,5,75,,,,,58.4,47.1,39.82,1274.27,
LOPEZ-1MG TAB,,,10'S,,ARIEN LABS,,5,96,,,,,59,47.2,38.62,1158.55,
LOPRESOR-50MG TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,62,47.24,43.46,347.68,
LORINOL-10MG TAB,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,53,,,,,62.4,47.54,43.74,437.4,
LOX 2% JELLY,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,62,47.72,44.38,798.84,
LOX-4% INJ 30ML,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,86,,,,,62,47.74,44.4,266.4,
LUBOWEL 8 CAP,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,62,47.74,44.4,177.6,
LUBREX EYE DROPS,,,10'S,,USV,,5,25,,,,,62.77,47.82,44.47,711.52,
LULIFIN CREAM 0.1% 10GM,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,45,,,,,62.6,47.86,44.44,577.74,
LUMBO SACRAL CORSET-M (ELNOVA),,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,58.57,47.91,44.55,445.5,
LYSER FORTE TAB,,,10'S,,Dr.REDDY's LABORATORIES LTD,,5,78,,,,,62.5,48.12,44.75,223.75,
LYTO CAPS,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,62.5,48.12,44.51,356.08,
MAGNESIUM SULPHATE INJ 50%,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,56,,,,,63,48.49,45.1,451,
MAHACORT-DZ6 TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,63,48.51,45.11,315.77,
MAMOLACT GRANULES,,,10'S,,MICRO LABS LTD (INDIA),,5,1,,,,,65.94,50.24,46.72,467.2,
MANNITOL INJ 20% 100 ML,,,10'S,,LUPIN LABORATORIES LTD,,5,53,,,,,66,50.29,46.77,467.7,
MATERNITY KIT,,,10's,,MANKIND PHARMA LTD,,5,48,,,,,66,50.29,46.77,420.93,
MEBEX SYP 30ML,,,10'S,,TROIKAA PHARMACEUTICALS LTD,,5,69,,,,,66,50.29,46.77,93.54,
MEDICAM INJ. 2ML,,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,65.5,50.43,46.4,324.8,
MEFTAL SPAS TAB,,,10'S,,MICRO LABS LTD (INDIA),,5,1,,,,,65.94,50.77,46.71,840.78,
MEFTAL-P 100MG TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,65.94,50.77,47.22,330.54,
MEFTAL-P SYP-60ML,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,66,50.82,47.26,330.82,
MEFTAL-TX TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,56,,,,,66,50.82,47.26,141.78,
MEGA CV 1.2g INJ,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,66,50.82,47.26,189.04,
MEGA CV 375MG TAB,,,10'S,,USV,,14.5,113,,,,,66.25,51,47.43,379.44,
MEGA- CV 228.5MG DRY SYP 60ML,,,10'S,,CIPLA LTD,,5,45,,,,,66.75,51.14,38.05,342.45,
MEGAPEN 500MG CAP,,,10'S,,NOVARTIS (INDIA) LTD,,5,53,,,,,66.5,51.2,47.62,333.34,
MEGAPEN 500MG INJ,,,10'S,,UNICHEM LABORATORIES LTD,,5,86,,,,,67.25,51.23,47.64,190.56,
MEGAPRALOL XL 25MG TAB,,,10'S,,ABBOTT INDIA LTD,,5,25,,,,,67.5,51.43,47.81,1482.22,
MEGAPRALOL XL 50MG TAB,,,10'S,,ZYDUS CADILA HEALTHCARE LTD,,5,1,,,,,66.3,51.48,47.81,1099.67,
MELMET-500 SR,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,67,51.59,47.98,1823.24,
MELOSET 3MG TAB,,,10'S,,ABBOTT INDIA LTD,,5,25,,,,,68,51.81,47.67,143.01,
MERO 250MG INJ,,,10'S,,MICRO LABS LTD (INDIA),,5,1,,,,,96,51.81,44.41,399.71,
MERO IGM INJECTION,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,68,51.81,47.67,238.35,
METOLAR INJ,,,10'S,,ZYDUS CADILA HEALTHCARE LTD,,5,75,,,,,67.31,51.82,48.19,289.14,
METROGYL-400MG TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,67.5,51.95,48.31,483.1,
MICRO D3 DROPS 30ML,,,10'S,,GLENMARK PHARMACEUTICALS LTD,,5,45,,,,,68,52.35,48.16,722.4,
MICRO DRIP SET(ROMSONS),,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,68,52.36,48.69,1460.7,
MICROCID 25mg CAPS,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,68.15,52.47,48.8,2635.2,
MICRODOX-LBX CAP,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,68.46,52.71,49.02,1323.54,
MIKASTAR 500MG INJ 2ML,,,10'S,,CIPLA LTD,,5,45,,,,,69.5,52.96,49.25,98.5,
MILOPIN-2.5 TAB,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,75,53,48.81,536.89,
MINTONIA SYP 60ML,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,69,53.13,49.41,494.1,
MIRAFEN 100MG,,,10'S,,TORRENT PHARMACEUTICALS LTD,,14.5,53,,,,,69,53.13,49.35,937.73,Buy 10 get 1
MIRAFEN 100MG SUPPOSITORY(DICLOFENAC),,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,45,,,,,69.08,53.19,48.93,293.58,Buy 10 get 1
MIRTAKEM 15MG TABLET,,,10'S,,ABBOTT INDIA LTD,,14.5,25,,,,,70,53.33,49.06,147.18,Buy 10 get 1
MIRTAKEM 7.5 MG TABLET,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,70,53.33,45.46,272.78,Buy 10 get 1
MISOPROST 200MCG TAB,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,70,53.33,44.6,624.45,Buy 10 get 1
MISOPROST 600MCG TAB,,,10'S,,SHIELD,,14.5,48,,,,,70,53.33,49.6,49.6,Buy 10 get 1
MITRYP 10MG TAB,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,70,53.33,49.6,248,Buy 10 get 1
MODALERT 200MG TAB,,,10'S,,WALTER BUSHNELL,,5,68,,,,,70.03,53.36,49.62,1141.26,Buy 10 get 1
MOMEFLO NASAL SPRAY,,,10'S,,FDC LIMITED,,5,57,,,,,69.5,53.49,49.21,147.63,Buy 10 get 1
MOMISOFT -F CREAM 10GM,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,70.16,53.75,49.99,1949.66,Buy 10 get 1
MOMISOFT CREAM,,,10'S,,PANACEA BIOTEC LTD,,5,53,,,,,70.7,53.86,49.55,297.3,Buy 10 get 1
MONOCEF-250MG INJ,,,10'S,,UNICHEM LABORATORIES LTD,,5,1,,,,,70,53.88,49.57,793.12,Buy 10 get 1
MONOCEF-O CV TAB(200+125),,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,71,54.1,46.12,830.16,
MONOCEF-SB 1.5GM INJ,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,71,54.1,46.12,2075.41,
MOX DRY SYP 125MG-60ML,,,10'S,,ZYDUS CADILA HEALTHCARE LTD,,5,53,,,,,70.68,54.46,50.65,709.1,
MOXIGEM 1.2GM INJ,,,10'S,,MICRO LABS LTD (INDIA),,5,56,,,,,71.5,54.48,46.06,2026.66,
MOZEP-4MG TAB,,,10'S,,GLAXO ENTRO PLUS TEAM I,,5,1,,,,,77,54.83,50.99,356.93,
MUCINAC 600MG TAB(EFFERVESCENT,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,72,55.44,51.56,360.92,
MUCINAC SOLN 20% 2ML,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,72,55.44,51.56,412.48,
MUCORIN-A TAB,,,10'S,,MERCK LIMITED,,5,25,,,,,72.5,55.82,51.91,519.1,
MUCUS SUCCUR BULB-L,,,10'S,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,68.14,55.87,51.93,1246.32,
MUSRAN ER 600MG TAB,,,10'S,,UNICHEM LABORATORIES LTD,,5,1,,,,,68.14,55.94,52.02,364.14,
NAN PRO I 400GM TIN,,,10'S,,MERCK LIMITED,,5,62,,,,,73,56.19,52.26,470.34,
NAPRO-MIDA 5ML,,,10'S,,PFIZER LIMITED,,5,45,,,,,72.5,56.21,51.2,10290.46,
NAPRODOP 200MG 5ML INJ,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,25,,,,,73.2,56.34,52.4,471.6,
NAPROSYN 500MG TAB,,,10'S,,SERDIA PHARMACEUTICALS (INDIA) LTD,,5,53,,,,,73.4,56.52,47.79,525.64,
NEBISTAR 2.5MG,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,87.89,67.65,62.91,377.46,
NEBULIZER MASK PAED,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,88,67.73,62.99,314.95,
NEEDLE 22 (DISPOVAN),,,10'S,,ALKEM LABORATORIES LTD,,5,1,,,,,88.5,68.13,63.36,4371.53,
NEEDLE 23 (DISPOVAN),,,10'S,,CIPLA LTD,,5,45,,,,,89.5,68.19,63.08,504.64,
